127.0.0.1 - - [16/May/2023:16:37:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2023:16:37:22 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [16/May/2023:16:37:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/May/2023:16:53:09 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [16/May/2023:16:55:48 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [16/May/2023:16:55:50 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [16/May/2023:16:55:51 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [16/May/2023:16:56:15 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [16/May/2023:16:56:34 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [16/May/2023:17:00:55 +0530] "GET /Crime_Report/PopulateCity.jsp HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [16/May/2023:17:01:06 +0530] "GET /Crime_Report/PopulateCity.jsp?sname=UTTAR%20PRADESH HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/May/2023:17:08:07 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [16/May/2023:17:08:59 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:08:59 +0530] "GET /Crime_Report/JavaScript/Prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2023:17:09:41 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:09:41 +0530] "GET /Crime_Report/JavaScript/Prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2023:17:09:43 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:09:43 +0530] "GET /Crime_Report/JavaScript/Prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:20 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:20 +0530] "GET /Crime_Report/JavaScript/Prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:48 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:48 +0530] "GET /Crime_Report/JavaScript/Prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:48 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:48 +0530] "GET /Crime_Report/JavaScript/Prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:49 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:49 +0530] "GET /Crime_Report/JavaScript/Prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:49 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:10:49 +0530] "GET /Crime_Report/JavaScript/Prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2023:17:11:25 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:11:25 +0530] "GET /Crime_Report/JavaScript/Proj1.js HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [16/May/2023:17:11:29 +0530] "GET /Crime_Report/PopulateCity.jsp?sname=Utterakhand HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [16/May/2023:17:12:26 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/May/2023:17:12:26 +0530] "GET /Crime_Report/JavaScript/Proj1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:12:30 +0530] "GET /Crime_Report/PopulateCity.jsp?sname=Uttar%20Pradesh HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/May/2023:17:12:35 +0530] "GET /Crime_Report/PopulateCity.jsp?sname=Utterakhand HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [16/May/2023:17:17:12 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:17:12 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [16/May/2023:17:17:12 +0530] "GET /Crime_Report/JavaScript/Proj1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:17:43 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:17:43 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:18:46 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:18:46 +0530] "GET /Crime_Report/JavaScript/Proj1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:18:46 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [16/May/2023:17:18:47 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:18:47 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:18:48 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:18:48 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:08 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:08 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:08 +0530] "GET /Crime_Report/JavaScript/Proj1.js HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:10 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:11 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:11 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:58 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:58 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:59 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:59 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:19:59 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [16/May/2023:17:20:55 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [16/May/2023:17:20:55 +0530] "GET /Crime_Report/JavaScript/Proj1.js HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [16/May/2023:17:20:55 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [16/May/2023:17:21:31 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [16/May/2023:17:21:31 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:21:32 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [16/May/2023:17:21:51 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2375
0:0:0:0:0:0:0:1 - - [16/May/2023:17:21:51 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:06 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:06 +0530] "GET /Crime_Report/JavaScript/Proj1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:08 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:08 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:09 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:09 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:09 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:34 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:34 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:35 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/May/2023:17:22:35 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:17:23:16 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 2375
