127.0.0.1 - - [23/May/2023:16:53:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2023:16:53:56 +0530] "GET /Crime_Report/feedback.jsp HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [23/May/2023:16:53:56 +0530] "GET /Crime_Report/siteImages/blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:53:56 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:53:56 +0530] "GET /Crime_Report/css/feedback.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:53:56 +0530] "GET /Crime_Report/siteImages/Crimelogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:53:56 +0530] "GET /Crime_Report/siteImages/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:53:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2023:16:54:16 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/May/2023:16:55:08 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/May/2023:16:55:09 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/May/2023:16:55:09 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/May/2023:16:55:09 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/May/2023:16:55:37 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/May/2023:16:55:37 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [23/May/2023:16:55:37 +0530] "GET /Crime_Report/siteImages/new.jpg HTTP/1.1" 200 17196
0:0:0:0:0:0:0:1 - - [23/May/2023:16:55:37 +0530] "GET /Crime_Report/siteImages/Crimelogo.png HTTP/1.1" 200 43371
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:27 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:27 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:31 +0530] "GET /Crime_Report/login.jsp HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:31 +0530] "GET /Crime_Report/JavaScript/prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:31 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:31 +0530] "GET /Crime_Report/css/login.css HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:31 +0530] "GET /Crime_Report/siteImages/blue.jpg HTTP/1.1" 200 17876
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:35 +0530] "GET /Crime_Report/index.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/May/2023:16:56:35 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:57:07 +0530] "GET /Crime_Report/index.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [23/May/2023:16:57:07 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:57:11 +0530] "GET /Crime_Report/login.jsp HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [23/May/2023:16:57:11 +0530] "GET /Crime_Report/JavaScript/prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [23/May/2023:16:57:23 +0530] "POST /Crime_Report/Validatelogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2023:16:57:23 +0530] "GET /Crime_Report/user.jsp HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [23/May/2023:16:57:23 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
