127.0.0.1 - - [18/May/2023:16:34:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/May/2023:16:34:57 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [18/May/2023:16:34:57 +0530] "GET /Crime_Report/siteImages/Crimelogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:16:34:57 +0530] "GET /Crime_Report/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:16:34:57 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:16:34:57 +0530] "GET /Crime_Report/siteImages/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:16:34:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:22 +0530] "GET /Crime_Report/login.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:23 +0530] "GET /Crime_Report/css/login.css HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:23 +0530] "GET /Crime_Report/JavaScript/prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:31 +0530] "POST /Crime_Report/Validatelogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:32 +0530] "GET /Crime_Report/Admin.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:34 +0530] "GET /Crime_Report/css/registerinci.css HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:45 +0530] "GET /Crime_Report/ComplainResponse.jsp HTTP/1.1" 200 11294
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:45 +0530] "GET /Crime_Report/css/complainres.css HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:45 +0530] "GET /Crime_Report/showEvidence.jsp?cid=19 HTTP/1.1" 500 5517
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:45 +0530] "GET /Crime_Report/showEvidence.jsp?cid=22 HTTP/1.1" 500 41729
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:45 +0530] "GET /Crime_Report/showEvidence.jsp?cid=18 HTTP/1.1" 500 5333
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:45 +0530] "GET /Crime_Report/showEvidence.jsp?cid=23 HTTP/1.1" 500 2142
0:0:0:0:0:0:0:1 - - [18/May/2023:16:35:45 +0530] "GET /Crime_Report/showEvidence.jsp?cid=21 HTTP/1.1" 500 6877
